# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Sec/SPII)	PILIN(Sec/SPIII)	CS Position
prot_13245	OTHER	0.999987	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13246	SP	0.000167	0.999270	0.000149	0.000161	0.000132	0.000131	CS pos: 18-19. Pr: 0.9813
prot_13247	OTHER	1.000008	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13248	OTHER	1.000009	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13249	OTHER	1.000005	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1325	SP	0.164473	0.835079	0.000142	0.000114	0.000099	0.000099	CS pos: 40-41. Pr: 0.8192
prot_13250	OTHER	1.000008	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13251	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13252	OTHER	1.000019	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13253	OTHER	0.999996	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13254	LIPO	0.000000	0.000000	1.000008	0.000000	0.000000	0.000000	CS pos: 27-28. Pr: 0.9947
prot_13255	OTHER	1.000016	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13256	OTHER	1.000019	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13257	SP	0.000232	0.999052	0.000191	0.000200	0.000165	0.000159	CS pos: 34-35. Pr: 0.9614
prot_13258	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13258_2	OTHER	1.000006	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13259	SP	0.000255	0.998902	0.000222	0.000243	0.000189	0.000199	CS pos: 39-40. Pr: 0.9614
prot_1326	OTHER	1.000035	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13260	OTHER	1.000019	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13261	SP	0.000195	0.999194	0.000179	0.000169	0.000140	0.000134	CS pos: 24-25. Pr: 0.9676
prot_13262	OTHER	1.000010	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13263	OTHER	1.000048	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13264	LIPO	0.000000	0.000000	0.999987	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9701
prot_13265	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13266	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13267	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13268	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13269	LIPO	0.000000	0.000000	1.000022	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9975
prot_1327	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13270	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13271	LIPO	0.000000	0.000000	1.000030	0.000000	0.000000	0.000000	CS pos: 19-20. Pr: 0.9975
prot_13272	OTHER	0.999978	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13273	SP	0.161645	0.837596	0.000288	0.000175	0.000152	0.000143	CS pos: 52-53. Pr: 0.8132
prot_13274	LIPO	0.000028	0.166577	0.833344	0.000019	0.000016	0.000018	CS pos: 16-17. Pr: 0.8276
prot_13275	OTHER	1.000026	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13276	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13277	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13278	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13279	OTHER	0.999970	0.000002	0.000001	0.000000	0.000000	0.000000	
prot_1328	OTHER	1.000016	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13280	SP	0.000272	0.998903	0.000248	0.000224	0.000185	0.000174	CS pos: 42-43. Pr: 0.8985
prot_13281	OTHER	1.000006	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13282	OTHER	1.000031	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13283	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13284	SP	0.145352	0.853764	0.000262	0.000249	0.000195	0.000192	CS pos: 38-39. Pr: 0.8113
prot_13285	LIPO	0.000000	0.000000	1.000065	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9977
prot_13286	OTHER	0.999965	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13287	OTHER	1.000005	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13288	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13289	OTHER	1.000016	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1329	OTHER	0.999996	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13290	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13291	LIPO	0.000000	0.000000	1.000016	0.000000	0.000000	0.000000	CS pos: 15-16. Pr: 0.9879
prot_13292	OTHER	0.999991	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13293	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13294	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13295	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13296	LIPO	0.000000	0.000000	1.000027	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9976
prot_13297	OTHER	0.999980	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13298	OTHER	0.999986	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13299	LIPO	0.000000	0.000001	1.000010	0.000000	0.000000	0.000000	CS pos: 24-25. Pr: 0.9950
prot_133	LIPO	0.000000	0.000000	1.000029	0.000000	0.000000	0.000000	CS pos: 19-20. Pr: 0.9965
prot_1330	OTHER	1.000037	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13300	LIPO	0.000132	0.499503	0.500132	0.000091	0.000087	0.000077	CS pos: 17-18. Pr: 0.4958
prot_13301	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13302	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13303	SP	0.000290	0.998821	0.000242	0.000256	0.000196	0.000183	CS pos: 36-37. Pr: 0.9553
prot_13304	OTHER	0.999978	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13305	OTHER	0.833351	0.000002	0.000000	0.000000	0.000000	0.166675	
prot_13306	OTHER	0.999996	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13307	OTHER	1.000006	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13308	SP	0.000207	0.999113	0.000176	0.000197	0.000149	0.000149	CS pos: 31-32. Pr: 0.9741
prot_13309	OTHER	1.000018	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1331	SP	0.000582	0.997823	0.000594	0.000388	0.000299	0.000324	CS pos: 18-19. Pr: 0.9702
prot_13310	LIPO	0.001566	0.038650	0.959701	0.000066	0.000006	0.000002	CS pos: 36-37. Pr: 0.9960
prot_13311	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13312	OTHER	1.000014	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13313	OTHER	0.999974	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13314	LIPO	0.000000	0.000000	1.000033	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9939
prot_13315	SP	0.000208	0.999168	0.000174	0.000178	0.000146	0.000135	CS pos: 30-31. Pr: 0.9721
prot_13316	OTHER	0.999981	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13317	SP	0.001362	0.995261	0.001877	0.000800	0.000316	0.000374	CS pos: 27-28. Pr: 0.9688
prot_13318	OTHER	0.999996	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13319	LIPO	0.015736	0.110940	0.873206	0.000039	0.000054	0.000005	CS pos: 44-45. Pr: 0.9903
prot_1332	OTHER	1.000009	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13320	OTHER	1.000018	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13321	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13322	SP	0.000231	0.999048	0.000202	0.000208	0.000163	0.000162	CS pos: 27-28. Pr: 0.9691
prot_13323	OTHER	1.000015	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13324	OTHER	1.000006	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13325	OTHER	0.999951	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13326	SP	0.000231	0.999078	0.000186	0.000200	0.000153	0.000153	CS pos: 42-43. Pr: 0.9656
prot_13327	OTHER	1.000019	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13328	OTHER	0.999974	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13329	SP	0.000213	0.999124	0.000181	0.000197	0.000152	0.000148	CS pos: 36-37. Pr: 0.9750
prot_1333	SP	0.011624	0.984737	0.001167	0.000869	0.000785	0.000821	CS pos: 19-20. Pr: 0.9707
prot_13330	OTHER	1.000003	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13331	OTHER	0.999989	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13332	SP	0.000239	0.998995	0.000216	0.000218	0.000164	0.000167	CS pos: 33-34. Pr: 0.9712
prot_13333	OTHER	1.000026	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13334	OTHER	1.000026	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13335	SP	0.000249	0.999017	0.000223	0.000196	0.000174	0.000155	CS pos: 29-30. Pr: 0.9752
prot_13336	OTHER	1.000042	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13337	OTHER	0.952734	0.047292	0.000014	0.000011	0.000010	0.000009	
prot_13338	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13339	OTHER	1.000010	0.000001	0.000000	0.000000	0.000000	0.000000	
prot_1334	SP	0.001187	0.998152	0.000176	0.000183	0.000148	0.000153	CS pos: 41-42. Pr: 0.8213
prot_13340	OTHER	1.000008	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13341	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13342	OTHER	1.000009	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13343	OTHER	1.000015	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13344	OTHER	0.999993	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13345	OTHER	0.999971	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13346	SP	0.000351	0.999068	0.000158	0.000164	0.000131	0.000136	CS pos: 39-40. Pr: 0.9781
prot_13347	OTHER	0.833308	0.000000	0.000027	0.000000	0.000000	0.166672	
prot_13348	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13349	OTHER	1.000041	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1335	OTHER	0.885979	0.113998	0.000003	0.000002	0.000002	0.000001	
prot_13350	SP	0.000175	0.999303	0.000157	0.000158	0.000129	0.000125	CS pos: 25-26. Pr: 0.9751
prot_13351	OTHER	1.000020	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13352	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13353	OTHER	0.999983	0.000006	0.000000	0.000000	0.000000	0.000000	
prot_13354	OTHER	1.000035	0.000000	0.000010	0.000002	0.000001	0.000001	
prot_13355	OTHER	0.999589	0.000403	0.000000	0.000000	0.000000	0.000000	
prot_13356	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13357	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13358	OTHER	1.000058	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13359	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1336	OTHER	1.000004	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13360	OTHER	1.000016	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13361	OTHER	0.999987	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13362	OTHER	1.000014	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13363	OTHER	1.000003	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13364	OTHER	1.000027	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13365	SP	0.000298	0.998998	0.000221	0.000210	0.000165	0.000155	CS pos: 31-32. Pr: 0.9740
prot_13366	OTHER	1.000029	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13367	LIPO	0.000000	0.000000	1.000022	0.000000	0.000000	0.000000	CS pos: 28-29. Pr: 0.9949
prot_13368	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13369	OTHER	0.638807	0.361021	0.000053	0.000048	0.000039	0.000035	
prot_1337	OTHER	0.999974	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13370	OTHER	0.999983	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13371	SP	0.000247	0.999047	0.000215	0.000194	0.000156	0.000148	CS pos: 30-31. Pr: 0.9714
prot_13372	LIPO	0.000005	0.000182	0.999822	0.000001	0.000000	0.000000	CS pos: 24-25. Pr: 0.9948
prot_13373	LIPO	0.000033	0.341761	0.658177	0.000016	0.000016	0.000016	CS pos: 30-31. Pr: 0.5921
prot_13374	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13375	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13376	OTHER	1.000001	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13377	OTHER	1.000008	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13378	OTHER	1.000008	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13379	SP	0.095505	0.902707	0.000649	0.000472	0.000322	0.000349	CS pos: 59-60. Pr: 0.6730
prot_1338	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13380	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13381	SP	0.000201	0.999212	0.000168	0.000174	0.000134	0.000134	CS pos: 36-37. Pr: 0.9761
prot_13382	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13383	SP	0.000252	0.999018	0.000198	0.000215	0.000164	0.000157	CS pos: 42-43. Pr: 0.9757
prot_13384	OTHER	1.000022	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13384_2	OTHER	1.000025	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13385	OTHER	1.000026	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13386	OTHER	0.822938	0.010392	0.166650	0.000007	0.000006	0.000005	
prot_13387	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13388	SP	0.000213	0.999152	0.000183	0.000173	0.000143	0.000142	CS pos: 31-32. Pr: 0.9756
prot_13389	LIPO	0.000000	0.000000	1.000013	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9954
prot_1339	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13390	LIPO	0.000000	0.000000	1.000032	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9967
prot_13391	OTHER	0.999960	0.000002	0.000000	0.000000	0.000000	0.000000	
prot_13392	SP	0.000288	0.998964	0.000227	0.000215	0.000167	0.000152	CS pos: 34-35. Pr: 0.9718
prot_13393	OTHER	1.000003	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13394	LIPO	0.152035	0.068109	0.779843	0.000012	0.000005	0.000000	CS pos: 50-51. Pr: 0.9646
prot_13395	OTHER	1.000035	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13396	SP	0.000123	0.664475	0.335148	0.000108	0.000088	0.000082	CS pos: 24-25. Pr: 0.3627
prot_13397	OTHER	0.999977	0.000002	0.000000	0.000000	0.000000	0.000000	
prot_13398	OTHER	1.000024	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13399	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_134	LIPO	0.000000	0.000000	1.000022	0.000000	0.000000	0.000000	CS pos: 25-26. Pr: 0.9960
prot_1340	SP	0.000199	0.832592	0.166846	0.000131	0.000119	0.000113	CS pos: 23-24. Pr: 0.8016
prot_13400	LIPO	0.006556	0.089861	0.903360	0.000215	0.000007	0.000003	CS pos: 39-40. Pr: 0.9964
prot_13401	OTHER	0.999969	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13402	OTHER	1.000010	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13403	OTHER	1.000037	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13404	OTHER	1.000014	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13405	OTHER	1.000020	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13406	SP	0.000185	0.999243	0.000156	0.000163	0.000131	0.000130	CS pos: 30-31. Pr: 0.9719
prot_13407	OTHER	0.999532	0.000064	0.000024	0.000087	0.000044	0.000210	
prot_13408	LIPO	0.000000	0.000000	1.000030	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9908
prot_13409	OTHER	0.833321	0.111052	0.055627	0.000000	0.000000	0.000000	
prot_1341	OTHER	1.000015	0.000002	0.000000	0.000000	0.000000	0.000000	
prot_13410	LIPO	0.000000	0.000000	1.000018	0.000000	0.000000	0.000000	CS pos: 19-20. Pr: 0.9970
prot_13411	OTHER	0.999980	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13412	SP	0.000225	0.999133	0.000188	0.000183	0.000146	0.000144	CS pos: 24-25. Pr: 0.9754
prot_13413	OTHER	1.000001	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13414	OTHER	0.999961	0.000000	0.000001	0.000000	0.000000	0.000000	
prot_13415	OTHER	1.000024	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13416	OTHER	1.000032	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13417	OTHER	0.999971	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13418	OTHER	1.000018	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13419	SP	0.000187	0.999222	0.000158	0.000166	0.000133	0.000128	CS pos: 22-23. Pr: 0.9767
prot_1342	LIPO	0.000000	0.000000	1.000051	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9972
prot_13420	OTHER	0.999974	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13421	OTHER	1.000005	0.000000	0.000001	0.000001	0.000000	0.000000	
prot_13422	OTHER	0.999976	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13423	OTHER	1.000010	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13424	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13425	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13426	OTHER	1.000022	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13427	SP	0.171011	0.827880	0.000351	0.000292	0.000241	0.000211	CS pos: 35-36. Pr: 0.7549
prot_13428	SP	0.000177	0.999227	0.000157	0.000163	0.000133	0.000131	CS pos: 32-33. Pr: 0.9765
prot_13429	TATLIPO	0.000000	0.000000	0.000000	0.165803	0.834204	0.000000	CS pos: 29-30. Pr: 0.6785
prot_1343	OTHER	0.999986	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13430	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13431	LIPO	0.000000	0.000000	1.000029	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9972
prot_13432	LIPO	0.016038	0.058838	0.924323	0.000697	0.000061	0.000050	CS pos: 38-39. Pr: 0.9965
prot_13433	OTHER	0.509143	0.490122	0.000188	0.000230	0.000175	0.000152	
prot_13434	SP	0.001945	0.996973	0.000305	0.000317	0.000247	0.000221	CS pos: 47-48. Pr: 0.8271
prot_13435	OTHER	1.000020	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13436	OTHER	1.000001	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13437	SP	0.005194	0.966818	0.023023	0.002099	0.001211	0.001660	CS pos: 28-29. Pr: 0.9441
prot_13438	SP	0.000237	0.999065	0.000198	0.000192	0.000158	0.000156	CS pos: 22-23. Pr: 0.9722
prot_13439	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1344	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13440	OTHER	0.999983	0.000007	0.000000	0.000000	0.000000	0.000000	
prot_13441	OTHER	1.000016	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13442	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13443	SP	0.000187	0.999219	0.000164	0.000163	0.000130	0.000130	CS pos: 27-28. Pr: 0.9778
prot_13444	OTHER	1.000004	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13445	LIPO	0.000000	0.000000	1.000011	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9915
prot_13446	OTHER	0.999951	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13447	OTHER	1.000001	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13448	LIPO	0.000100	0.332945	0.666777	0.000063	0.000050	0.000059	CS pos: 21-22. Pr: 0.6587
prot_13449	OTHER	0.999991	0.000020	0.000000	0.000000	0.000000	0.000000	
prot_1345	SP	0.000215	0.999098	0.000185	0.000193	0.000158	0.000166	CS pos: 31-32. Pr: 0.9714
prot_13450	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13451	OTHER	0.999991	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13452	OTHER	0.999992	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13453	LIPO	0.000000	0.000000	1.000013	0.000000	0.000000	0.000000	CS pos: 25-26. Pr: 0.9972
prot_13454	OTHER	1.000003	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13455	SP	0.000294	0.832167	0.166929	0.000256	0.000205	0.000213	CS pos: 21-22. Pr: 0.5884
prot_13456	OTHER	1.000014	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13457	OTHER	1.000029	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13458	LIPO	0.008406	0.098529	0.892985	0.000067	0.000022	0.000002	CS pos: 40-41. Pr: 0.9959
prot_13459	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1346	SP	0.000188	0.999218	0.000168	0.000157	0.000135	0.000130	CS pos: 27-28. Pr: 0.9779
prot_13460	SP	0.000245	0.999001	0.000218	0.000211	0.000168	0.000157	CS pos: 29-30. Pr: 0.9740
prot_13461	LIPO	0.000000	0.000000	1.000019	0.000000	0.000000	0.000000	CS pos: 27-28. Pr: 0.9933
prot_13462	LIPO	0.000000	0.000000	1.000020	0.000000	0.000000	0.000000	CS pos: 24-25. Pr: 0.9977
prot_13463	LIPO	0.000000	0.000000	1.000021	0.000000	0.000000	0.000000	CS pos: 24-25. Pr: 0.9835
prot_13464	LIPO	0.054382	0.065409	0.880059	0.000136	0.000023	0.000006	CS pos: 42-43. Pr: 0.9962
prot_13465	OTHER	1.000009	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13466	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13467	OTHER	1.000016	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13468	OTHER	0.999987	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13469	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1347	OTHER	1.000020	0.000002	0.000000	0.000000	0.000000	0.000000	
prot_13470	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13471	OTHER	0.605690	0.091254	0.000040	0.000035	0.000033	0.302959	
prot_13472	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13473	OTHER	0.999993	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13474	OTHER	1.000009	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13475	OTHER	1.000026	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13476	OTHER	1.000017	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13477	SP	0.000225	0.999088	0.000185	0.000210	0.000157	0.000155	CS pos: 28-29. Pr: 0.9674
prot_13478	OTHER	1.000009	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13479	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1348	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13480	OTHER	0.999980	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13481	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13482	OTHER	0.999917	0.000069	0.000000	0.000000	0.000000	0.000000	
prot_13483	OTHER	1.000013	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13484	OTHER	1.000003	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13485	SP	0.000200	0.999202	0.000175	0.000166	0.000139	0.000139	CS pos: 21-22. Pr: 0.9784
prot_13486	LIPO	0.000000	0.000000	1.000019	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9942
prot_13487	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13488	SP	0.000309	0.832169	0.166964	0.000243	0.000186	0.000185	CS pos: 20-21. Pr: 0.8094
prot_13489	SP	0.000210	0.999122	0.000178	0.000203	0.000152	0.000153	CS pos: 38-39. Pr: 0.9322
prot_1349	LIPO	0.000000	0.000000	1.000018	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9946
prot_13490	SP	0.000298	0.998900	0.000254	0.000228	0.000180	0.000172	CS pos: 39-40. Pr: 0.9750
prot_13491	OTHER	1.000022	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13492	OTHER	1.000023	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13493	LIPO	0.000000	0.000000	1.000006	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9961
prot_13494	OTHER	0.999964	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13495	LIPO	0.000000	0.000000	1.000012	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9974
prot_13496	OTHER	0.909320	0.090671	0.000000	0.000000	0.000000	0.000000	
prot_13497	LIPO	0.000001	0.000012	1.000003	0.000000	0.000000	0.000000	CS pos: 31-32. Pr: 0.9950
prot_13498	OTHER	0.999963	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_13499	OTHER	1.000014	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_135	LIPO	0.000119	0.000811	0.998911	0.000124	0.000018	0.000022	CS pos: 27-28. Pr: 0.9977
prot_1350	LIPO	0.000118	0.090371	0.909372	0.000041	0.000039	0.000034	CS pos: 29-30. Pr: 0.9035
prot_13500	SP	0.000327	0.832192	0.166907	0.000232	0.000179	0.000166	CS pos: 26-27. Pr: 0.6312
prot_13501	LIPO	0.000013	0.000118	0.999870	0.000005	0.000004	0.000000	CS pos: 34-35. Pr: 0.9958
prot_13502	SP	0.000203	0.999147	0.000165	0.000184	0.000145	0.000139	CS pos: 35-36. Pr: 0.9789
prot_13503	OTHER	0.337037	0.328654	0.000715	0.000123	0.000093	0.333417	
